numero_amostra;accel_x;accel_y;accel_z;gyro_x;gyro_y;gyro_z
1;548;11576;11900;-2550;251;83
2;472;11496;12052;53;247;80
3;464;11644;12156;49;221;60
4;468;11548;12132;40;241;55
5;484;11604;12020;18;226;74
6;492;11572;11972;138;213;59
7;444;11600;12012;-54;210;65
8;512;11604;12136;115;203;78
9;520;11520;12168;54;190;44
10;512;11596;12096;59;212;57
11;540;11548;12008;33;217;67
12;-5120;11208;9424;-487;10793;-15651
13;-4828;11376;9964;52;-10861;18787
14;-744;13916;11772;3269;10409;-15296
15;-16264;3100;-3072;-1270;3755;-405
16;304;11132;11444;-9486;-14065;16611
17;1404;12904;14924;8848;4248;1728
18;-6308;14256;6840;-11556;675;-3784
19;-932;8776;14764;10072;-1531;-1005
20;-11352;10096;5100;6917;17025;-12540
21;-3944;11540;11084;-10692;-13487;11580
22;-1560;12684;10740;10951;9606;-11985
23;-13996;13540;1092;-115;-1181;-2060
24;-1860;9628;7240;-8563;-27211;20784
25;-904;14648;13012;2560;11929;-13893
26;-5604;12424;11528;-4289;-19630;17876
27;508;11928;11788;8999;3732;3682
28;508;10984;12620;-20;233;62
29;472;10972;12664;130;224;73
30;524;10912;12700;-38;257;89
